TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
0,0,0,0,0
1701485105,1,1764.00,1171.00,null
1701485115,2,1786.00,1177.00,414141BEBE
1701485115,3,1796.00,1179.00,4152413F41
1701485115,5,1798.00,1179.00,52429CC441
1701485115,7,1806.00,1183.00,79DE013EA2
1701485115,11,1807.00,1183.00,4541
1701485115,20,1810.00,1183.00,2241414841
1701485115,23,1811.00,1183.00,4151497E3D
1701485115,29,1817.00,1185.00,5F
1701485115,30,1819.00,1186.00,5941412C41
1701485115,42,1824.00,1189.00,2E
1701485115,46,1831.00,1190.00,41FEBEBE50
1701485115,51,1846.00,1198.00,7C8B28
1701485115,52,1847.00,1198.00,4141B54141
1701485115,57,1848.00,1198.00,C6
1701485115,67,1849.00,1198.00,2061BE
1701485116,103,1853.00,1198.00,4139C141
1701485116,113,1856.00,1199.00,BEBE2461C2
1701485116,137,1859.00,1199.00,CE
1701485116,166,1863.00,1200.00,41BE3C4141
1701485117,193,1867.00,1200.00,31C807
1701485117,197,1871.00,1204.00,085C2941
1701485117,199,1872.00,1205.00,B4C8
1701485117,236,1875.00,1205.00,41CA
1701485117,244,1877.00,1206.00,476041413C
1701485118,314,1879.00,1206.00,418941BE01
1701485118,363,1880.00,1206.00,3F
1701485118,374,1887.00,1207.00,41E1FA6F32
1701485119,476,1889.00,1208.00,31
1701485119,510,1890.00,1208.00,BEBE564141
1701485119,521,1894.00,1208.00,4141BE41
1701485119,523,1895.00,1208.00,0B
1701485120,541,1896.00,1208.00,A8
1701485120,556,1898.00,1208.00,4128FEC141
1701485120,584,1899.00,1208.00,00
1701485120,641,1902.00,1208.00,414D5FFE48
1701485120,654,1904.00,1208.00,BE4041B641
1701485121,677,1906.00,1208.00,E5
1701485121,699,1909.00,1208.00,41414141DF
1701485121,706,1911.00,1208.00,04F835BE51
1701485121,725,1914.00,1208.00,054D41BE41
1701485123,923,1916.00,1208.00,41BEBE82BE
1701485123,952,1918.00,1208.00,4141414141
1701485123,953,1919.00,1208.00,1D
1701485124,1011,1921.00,1208.00,01C201
1701485124,1091,1922.00,1208.00,A582384141
1701485125,1143,1923.00,1208.00,BEC54A
1701485125,1169,1924.00,1208.00,5F419D
1701485126,1217,1926.00,1208.00,4141B2BE41
1701485126,1238,1929.00,1208.00,6121BE39
1701485127,1370,1931.00,1208.00,9A
1701485127,1374,1932.00,1208.00,41C0204141
1701485127,1391,1933.00,1208.00,41B1BEAEBE
1701485127,1439,1935.00,1208.00,1B
1701485129,1695,1936.00,1208.00,5F41C64161
1701485130,1714,1939.00,1209.00,60BEE6C2BE
1701485130,1728,1941.00,1209.00,414149
1701485130,1758,1943.00,1210.00,8841BEBEF3
1701485130,1779,1945.00,1210.00,4225BE4141
1701485131,1904,1946.00,1210.00,4161FABEBE
1701485132,2029,1949.00,1210.00,41F941BE19
1701485133,2104,1951.00,1210.00,41BE41
1701485133,2134,1952.00,1210.00,BE41BE6541
1701485133,2172,1953.00,1210.00,C4BEBE41
1701485134,2198,1970.00,1221.00,414D47
1701485134,2199,1984.00,1230.00,9E3F41
1701485134,2202,1986.00,1230.00,403E
1701485134,2207,1988.00,1230.00,BEE941A1BE
1701485134,2210,1989.00,1230.00,B2
1701485134,2227,1990.00,1230.00,45EFBABE41
1701485134,2238,1991.00,1230.00,41BEBAA0CF
1701485134,2244,2002.00,1239.00,4141
1701485134,2246,2059.00,1289.00,29
1701485134,2247,2111.00,1336.00,414241BE43
1701485134,2250,2153.00,1371.00,CB3DBEBE51
1701485134,2256,2215.00,1400.00,41
1701485134,2262,2246.00,1419.00,4E4251BE51
1701485134,2266,2248.00,1419.00,8C
1701485134,2277,2249.00,1419.00,414141BED0
1701485135,2341,2251.00,1419.00,4541714141
1701485135,2379,2253.00,1419.00,41414D4101
1701485135,2380,2254.00,1419.00,65
1701485135,2382,2256.00,1419.00,41BE41BE22
1701485136,2428,2257.00,1419.00,4141394141
1701485136,2429,2258.00,1419.00,41
1701485137,2530,2260.00,1419.00,4101DEBE45
1701485137,2545,2261.00,1419.00,BEA441C6BE
1701485137,2546,2264.00,1420.00,BE40BE8734
1701485137,2574,2266.00,1420.00,414E39BE41
1701485137,2575,2267.00,1420.00,31C161C23D
1701485137,2576,2270.00,1421.00,41BEBE43BE
1701485138,2651,2272.00,1421.00,DEE3BEB341
1701485138,2685,2274.00,1421.00,9565493851
1701485138,2722,2276.00,1421.00,BE3F414741
1701485138,2727,2277.00,1421.00,4505
1701485139,2779,2279.00,1421.00,8047
1701485139,2790,2281.00,1421.00,4141BE8EB2
1701485139,2794,2284.00,1421.00,41BEC64183
1701485139,2796,2288.00,1421.00,D7
1701485139,2837,2290.00,1421.00,013EBE4141
1701485140,2921,2291.00,1421.00,65A0
1701485140,2932,2292.00,1421.00,B0
1701485141,3029,2293.00,1421.00,09
1701485141,3052,2294.00,1421.00,47BE6E41
1701485141,3079,2296.00,1421.00,41BEFE5245
1701485141,3083,2300.00,1422.00,27
1701485142,3187,2302.00,1422.00,4101C64141
1701485142,3198,2305.00,1422.00,BC29
1701485142,3216,2306.00,1422.00,9344
1701485143,3267,2308.00,1422.00,52
1701485143,3288,2309.00,1422.00,41BE
1701485143,3289,2310.00,1422.00,415A
1701485143,3332,2313.00,1422.00,4150BE41
1701485144,3396,2315.00,1422.00,B9
1701485145,3498,2316.00,1422.00,BE9E41C941
1701485146,3605,2318.00,1422.00,41
1701485146,3611,2320.00,1422.00,40BEBEBE99
1701485146,3660,2322.00,1422.00,A64F414123
1701485146,3664,2324.00,1422.00,4121194141
1701485146,3670,2325.00,1422.00,2A
1701485147,3733,2327.00,1422.00,BEBEB1BEBE
1701485147,3770,2328.00,1422.00,F9
1701485148,3876,2330.00,1422.00,41C1B3BECC
1701485148,3914,2332.00,1422.00,59450A25CC
1701485149,4001,2333.00,1422.00,BE7BBEBEBE
1701485149,4007,2335.00,1422.00,40BE
