TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE
1701111850,8638,1067.00,524.00
1701111850,8640,1068.00,524.00
1701111850,8642,1069.00,524.00
1701111850,8645,1070.00,524.00
1701111857,8802,1071.00,524.00
1701111857,8804,1072.00,524.00
1701111866,9043,1073.00,524.00
1701111866,9050,1074.00,524.00
1701111866,9051,1075.00,524.00
1701111867,9076,1076.00,524.00
1701111868,9097,1077.00,524.00
1701111870,9140,1078.00,524.00
1701111872,9195,1079.00,524.00
1701111873,9223,1080.00,524.00
1701111874,9250,1081.00,524.00
1701111874,9251,1082.00,524.00
1701111876,9286,1083.00,524.00
1701111877,9322,1084.00,524.00
1701111877,9327,1085.00,524.00
1701111877,9329,1086.00,524.00
1701111878,9330,1087.00,524.00
1701111878,9350,1088.00,524.00
1701111879,9376,1089.00,524.00
1701111879,9378,1090.00,524.00
1701111890,9636,1091.00,524.00
1701111890,9650,1092.00,524.00
1701111891,9660,1093.00,524.00
1701111891,9668,1095.00,524.00
1701111892,9682,1099.00,527.00
1701111892,9683,1100.00,527.00
1701111893,9707,1101.00,527.00
1701111893,9709,1107.00,528.00
1701111893,9710,1108.00,528.00
1701111893,9726,1109.00,528.00
1701111894,9749,1111.00,528.00
1701111898,9834,1112.00,528.00
1701111898,9851,1113.00,528.00
1701111898,9853,1114.00,528.00
1701111900,9886,1115.00,528.00
1701111905,10028,1116.00,528.00
1701111924,10504,1117.00,528.00
1701111924,10505,1118.00,528.00
1701111926,10557,1119.00,528.00
1701111926,10558,1120.00,528.00
1701111933,10729,1121.00,528.00
1701111933,10734,1122.00,528.00
1701111946,11047,1123.00,528.00
1701111947,11086,1124.00,528.00
1701111954,11260,1125.00,528.00
1701111969,11637,1126.00,528.00
1701111971,11677,1130.00,528.00
1701111971,11686,1131.00,528.00
1701111974,11750,1132.00,528.00
1701111974,11751,1133.00,528.00
1701111975,11773,1134.00,528.00
1701111975,11776,1135.00,528.00
1701111976,11814,1136.00,528.00
1701111977,11833,1137.00,528.00
1701112012,12702,1138.00,528.00
1701112022,12959,1139.00,528.00
1701112049,13630,1140.00,528.00
1701112053,13732,1141.00,528.00
1701112055,13779,1142.00,528.00
1701112058,13847,1143.00,528.00
1701112061,13908,1144.00,528.00
1701112071,14175,1146.00,529.00
1701112084,14499,1148.00,529.00
1701112088,14585,1149.00,529.00
1701112088,14591,1150.00,529.00
1701112090,14636,1151.00,529.00
1701112094,14745,1152.00,529.00
1701112095,14750,1153.00,529.00
1701112114,15246,1154.00,529.00
1701112141,15914,1159.00,530.00
1701112176,16764,1160.00,530.00
1701112182,16918,1161.00,530.00
1701112188,16984,1162.00,530.00
1701112189,16995,1163.00,530.00
1701112215,17359,1164.00,530.00
1701112229,17632,1165.00,530.00
1701112230,17670,1167.00,531.00
1701112233,17741,1168.00,531.00
1701112256,18312,1171.00,532.00
1701112256,18313,1172.00,532.00
1701112269,18612,1173.00,532.00
1701112276,18777,1174.00,532.00
1701112277,18786,1175.00,532.00
1701112290,19090,1176.00,532.00
1701112294,19167,1177.00,532.00
1701112295,19191,1179.00,533.00
1701112301,19324,1180.00,533.00
1701112302,19348,1181.00,533.00
1701112304,19402,1184.00,534.00
1701112306,19443,1185.00,534.00
1701112314,19646,1186.00,534.00
1701112315,19648,1188.00,534.00
1701112315,19649,1189.00,534.00
1701112315,19650,1190.00,534.00
1701112315,19667,1191.00,534.00
1701112316,19684,1192.00,534.00
1701112316,19691,1193.00,534.00
1701112317,19692,1195.00,534.00
1701112317,19694,1196.00,534.00
1701112317,19698,1197.00,534.00
1701112317,19700,1198.00,534.00
1701112320,19767,1199.00,534.00
1701112326,19909,1200.00,534.00
1701112326,19910,1201.00,534.00
1701112328,19954,1202.00,534.00
1701112331,20014,1204.00,535.00
1701112334,20092,1206.00,535.00
1701112334,20094,1207.00,535.00
1701112341,20246,1208.00,535.00
1701112343,20282,1209.00,535.00
1701112363,20731,1210.00,535.00
1701112364,20763,1211.00,535.00
1701112371,20915,1212.00,535.00
1701112373,20961,1213.00,535.00
1701112378,21067,1216.00,537.00
1701112378,21081,1219.00,537.00
1701112382,21175,1220.00,537.00
1701112391,21362,1221.00,537.00
1701112391,21375,1222.00,537.00
1701112392,21391,1227.00,538.00
1701112393,21410,1229.00,538.00
1701112394,21422,1230.00,538.00
1701112395,21445,1231.00,538.00
1701112406,21673,1232.00,538.00
1701112414,21866,1233.00,538.00
1701112415,21869,1234.00,538.00
1701112416,21891,1235.00,538.00
1701112417,21915,1236.00,538.00
1701112417,21916,1237.00,538.00
1701112417,21921,1238.00,538.00
1701112423,22067,1239.00,538.00
1701112425,22107,1240.00,538.00
1701112430,22218,1241.00,538.00
1701112431,22235,1242.00,538.00
1701112452,22714,1243.00,538.00
1701112462,22939,1244.00,538.00
1701112463,22975,1264.00,548.00
1701112465,23013,1265.00,548.00
1701112466,23029,1266.00,548.00
1701112469,23095,1267.00,548.00
1701112472,23174,1269.00,549.00
1701112480,23342,1270.00,549.00
1701112499,23785,1271.00,549.00
1701112546,24257,1272.00,549.00
1701112549,24302,1273.00,549.00
1701112555,24375,1274.00,549.00
1701112567,24648,1275.00,549.00
1701112567,24653,1276.00,549.00
1701112568,24674,1277.00,549.00
1701112584,25023,1278.00,549.00
1701112596,25297,1279.00,549.00
1701112602,25420,1280.00,549.00
1701112603,25455,1281.00,549.00
1701112605,25510,1282.00,549.00
1701112606,25512,1283.00,549.00
1701112607,25547,1284.00,549.00
1701112615,25703,1285.00,549.00
1701112617,25746,1302.00,558.00
1701112617,25747,1303.00,558.00
1701112631,26079,1304.00,558.00
1701112639,26257,1305.00,558.00
1701112639,26278,1306.00,558.00
1701112641,26312,1328.00,570.00
1701112643,26347,1329.00,570.00
1701112653,26590,1330.00,570.00
1701112663,26810,1331.00,570.00
1701112676,27098,1332.00,570.00
1701112692,27469,1333.00,570.00
1701112692,27478,1338.00,572.00
1701112693,27486,1339.00,572.00
1701112694,27524,1340.00,572.00
1701112697,27592,1341.00,572.00
1701112704,27736,1342.00,572.00
1701112706,27771,1343.00,572.00
1701112714,27957,1344.00,572.00
1701112717,28027,1345.00,572.00
1701112726,28233,1346.00,572.00
1701112726,28235,1347.00,572.00
1701112729,28297,1348.00,572.00
1701112748,28644,1349.00,572.00
1701112750,28681,1350.00,572.00
1701112753,28732,1351.00,572.00
1701112769,28985,1352.00,572.00
1701112769,28986,1353.00,572.00
1701112782,29263,1354.00,572.00
1701112784,29306,1355.00,572.00
1701112801,29683,1356.00,572.00
1701112806,29811,1357.00,572.00
1701112807,29815,1358.00,572.00
1701112818,30075,1359.00,572.00
1701112819,30099,1360.00,572.00
1701112823,30179,1361.00,572.00
1701112823,30182,1362.00,572.00
1701112826,30243,1363.00,572.00
1701112826,30262,1364.00,572.00
1701112864,30554,1365.00,572.00
1701112878,30865,1366.00,572.00
1701112884,30982,1367.00,572.00
1701112887,31059,1368.00,572.00
1701112903,31414,1369.00,572.00
1701112903,31421,1370.00,572.00
1701112903,31425,1371.00,572.00
1701112905,31457,1372.00,572.00
1701112906,31496,1373.00,572.00
1701112907,31500,1374.00,572.00
1701112912,31615,1375.00,572.00
1701112912,31617,1376.00,572.00
1701112913,31652,1377.00,572.00
1701112923,31894,1378.00,572.00
1701112924,31907,1379.00,572.00
1701112930,32045,1380.00,572.00
1701112941,32307,1381.00,572.00
1701112944,32375,1382.00,572.00
1701112944,32386,1383.00,572.00
1701112949,32479,1385.00,573.00
1701112968,32916,1386.00,573.00
1701112968,32923,1387.00,573.00
1701112968,32928,1388.00,573.00
1701112972,33010,1389.00,573.00
1701112989,33316,1390.00,573.00
1701112990,33329,1391.00,573.00
1701112991,33335,1392.00,573.00
1701112991,33346,1393.00,573.00
1701112992,33359,1394.00,573.00
1701113004,33529,1395.00,573.00
1701113005,33533,1396.00,573.00
1701113008,33610,1397.00,573.00
1701113012,33712,1398.00,573.00
1701113022,33911,1399.00,573.00
1701113028,34044,1401.00,574.00
1701113107,34604,1402.00,574.00
1701113110,34661,1403.00,574.00
1701113110,34666,1404.00,574.00
1701113111,34693,1405.00,574.00
1701113114,34768,1406.00,574.00
1701113127,35039,1408.00,574.00
1701113128,35070,1409.00,574.00
1701113138,35281,1410.00,574.00
1701113138,35292,1411.00,574.00
1701113145,35449,1412.00,574.00
1701113151,35588,1413.00,574.00
1701113164,35866,1414.00,574.00
1701113171,36016,1415.00,574.00
1701113171,36017,1416.00,574.00
1701113173,36061,1417.00,574.00
1701113177,36117,1418.00,574.00
1701113177,36120,1419.00,574.00
1701113178,36134,1420.00,574.00
1701113182,36191,1421.00,574.00
1701113185,36243,1422.00,574.00
1701113185,36246,1423.00,574.00
1701113185,36247,1426.00,575.00
1701113188,36291,1427.00,575.00
1701113190,36323,1428.00,575.00
1701113195,36417,1429.00,575.00
1701113203,36593,1430.00,575.00
1701113211,36779,1432.00,577.00
1701113211,36780,1433.00,577.00
1701113225,37093,1434.00,577.00
1701113238,37363,1435.00,577.00
1701113241,37420,1436.00,577.00
1701113241,37426,1437.00,577.00
1701113243,37473,1438.00,577.00
1701113249,37621,1439.00,577.00
1701113250,37623,1441.00,577.00
1701113251,37652,1442.00,577.00
1701113251,37659,1443.00,577.00
1701113254,37705,1444.00,577.00
1701113255,37711,1445.00,577.00
1701113257,37750,1446.00,577.00
1701113258,37752,1447.00,577.00
1701113259,37779,1448.00,577.00
1701113264,37883,1449.00,577.00
1701113267,37953,1450.00,577.00
1701113268,37977,1451.00,577.00
1701113270,38010,1452.00,577.00
1701113287,38392,1453.00,577.00
1701113292,38519,1454.00,577.00
1701113328,39159,1456.00,578.00
1701113331,39215,1457.00,578.00
1701113332,39247,1458.00,578.00
1701113338,39320,1459.00,578.00
1701113339,39343,1460.00,578.00
1701113346,39453,1461.00,578.00
1701113354,39646,1462.00,578.00
1701113355,39672,1463.00,578.00
1701113355,39676,1464.00,578.00
1701113356,39684,1465.00,578.00
1701113368,39956,1466.00,578.00
1701113370,39985,1467.00,578.00
1701113370,39986,1471.00,580.00
1701113370,39993,1474.00,580.00
1701113371,40008,1475.00,580.00
1701113371,40009,1476.00,580.00
1701113371,40019,1477.00,580.00
1701113371,40023,1478.00,580.00
1701113371,40024,1479.00,580.00
1701113372,40035,1480.00,580.00
1701113373,40063,1481.00,580.00
1701113373,40064,1482.00,580.00
1701113373,40067,1483.00,580.00
1701113373,40068,1484.00,580.00
1701113375,40106,1485.00,580.00
1701113405,40762,1486.00,580.00
1701113422,41088,1487.00,580.00
1701113424,41128,1494.00,584.00
1701113424,41133,1495.00,584.00
1701113429,41237,1496.00,584.00
1701113430,41260,1499.00,585.00
1701113431,41269,1502.00,586.00
1701113434,41334,1508.00,591.00
1701113441,41500,1509.00,591.00
1701113442,41506,1510.00,591.00
1701113446,41598,1511.00,591.00
1701113456,41757,1512.00,591.00
1701113462,41846,1514.00,591.00
1701113477,42070,1516.00,591.00
1701113483,42202,1517.00,591.00
1701113499,42562,1518.00,591.00
1701113499,42563,1519.00,591.00
1701113500,42581,1520.00,591.00
1701113504,42644,1521.00,591.00
1701113508,42723,1522.00,591.00
1701113509,42762,1536.00,594.00
1701113513,42854,1537.00,594.00
1701113522,43049,1538.00,594.00
1701113522,43051,1539.00,594.00
1701113523,43066,1540.00,594.00
1701113528,43185,1541.00,594.00
1701113531,43238,1542.00,594.00
1701113539,43404,1543.00,594.00
1701113542,43486,1544.00,594.00
1701113543,43515,1545.00,594.00
1701113552,43677,1546.00,594.00
1701113558,43829,1554.00,596.00
1701113570,44069,1555.00,596.00
1701113579,44280,1556.00,596.00
1701113580,44304,1558.00,596.00
1701113585,44398,1559.00,596.00
1701113585,44399,1560.00,596.00
1701113588,44468,1561.00,596.00
1701113593,44568,1564.00,596.00
1701113601,44705,1565.00,596.00
1701113624,45110,1566.00,596.00
1701113631,45196,1606.00,628.00
1701113631,45197,1607.00,628.00
1701113632,45204,1609.00,628.00
1701113650,45508,1610.00,628.00
1701113652,45560,1611.00,628.00
1701113652,45562,1612.00,628.00
1701113660,45742,1613.00,628.00
1701113660,45745,1614.00,628.00
1701113662,45776,1615.00,628.00
1701113663,45809,1616.00,628.00
1701113664,45816,1617.00,628.00
1701113664,45820,1618.00,628.00
1701113664,45830,1619.00,628.00
1701113666,45855,1620.00,628.00
1701113670,45958,1621.00,628.00
1701113671,45975,1622.00,628.00
1701113672,45990,1623.00,628.00
1701113673,46006,1624.00,628.00
1701113674,46033,1625.00,628.00
1701113674,46036,1626.00,628.00
1701113678,46114,1627.00,628.00
1701113679,46123,1628.00,628.00
1701113680,46141,1629.00,628.00
1701113690,46365,1630.00,628.00
1701113692,46418,1632.00,628.00
1701113694,46449,1636.00,631.00
1701113707,46730,1637.00,631.00
1701113715,46905,1638.00,631.00
1701113717,46940,1639.00,631.00
1701113722,47056,1640.00,631.00
1701113724,47097,1646.00,631.00
1701113724,47103,1651.00,632.00
1701113725,47107,1653.00,632.00
1701113725,47110,1654.00,632.00
1701113727,47157,1676.00,641.00
1701113729,47192,1677.00,641.00
1701113736,47352,1678.00,641.00
1701113758,47803,1679.00,641.00
1701113759,47826,1680.00,641.00
1701113773,48112,1681.00,641.00
1701113776,48177,1682.00,641.00
1701113779,48240,1683.00,641.00
1701113781,48277,1684.00,641.00
1701113782,48304,1685.00,641.00
1701113791,48499,1686.00,641.00
1701113792,48509,1687.00,641.00
1701113806,48820,1688.00,641.00
1701113806,48830,1690.00,642.00
1701113809,48871,1693.00,643.00
1701113814,48994,1696.00,644.00
1701113818,49070,1697.00,644.00
1701113820,49112,1698.00,644.00
1701113820,49117,1699.00,644.00
1701113837,49489,1707.00,648.00
1701113843,49602,1708.00,648.00
1701113845,49643,1715.00,651.00
1701113845,49661,1716.00,651.00
1701113846,49674,1717.00,651.00
1701113852,49788,1718.00,651.00
1701113886,50578,1719.00,651.00
1701113887,50604,1720.00,651.00
1701113888,50622,1722.00,652.00
1701113889,50643,1723.00,652.00
1701113891,50681,1727.00,653.00
1701113897,50817,1730.00,654.00
1701113908,51060,1732.00,654.00
1701113908,51064,1733.00,654.00
1701113911,51108,1734.00,654.00
1701113917,51254,1735.00,654.00
1701113917,51258,1738.00,656.00
1701113924,51399,1739.00,656.00
1701113924,51403,1742.00,656.00
1701113924,51411,1743.00,656.00
1701113928,51504,1744.00,656.00
1701113931,51557,1750.00,658.00
1701113931,51562,1752.00,659.00
1701113944,51827,1753.00,659.00
1701113944,51841,1760.00,662.00
1701113955,52072,1762.00,662.00
1701113959,52154,1763.00,662.00
1701113961,52188,1764.00,662.00
1701113961,52197,1765.00,662.00
1701113963,52237,1772.00,668.00
1701113966,52300,1773.00,668.00
1701113968,52345,1774.00,668.00
1701113969,52375,1775.00,668.00
1701113985,52709,1778.00,668.00
1701113988,52770,1779.00,668.00
1701113998,52988,1780.00,668.00
1701113999,53000,1781.00,668.00
1701113999,53013,1782.00,668.00
1701114004,53109,1783.00,668.00
1701114005,53124,1784.00,668.00
1701114013,53296,1785.00,668.00
1701114013,53297,1786.00,668.00
1701114015,53327,1787.00,668.00
1701114018,53391,1790.00,668.00
1701114024,53513,1791.00,668.00
1701114030,53643,1792.00,668.00
1701114032,53672,1793.00,668.00
1701114033,53701,1794.00,668.00
1701114037,53773,1795.00,668.00
1701114042,53890,1797.00,669.00
1701114042,53893,1798.00,669.00
1701114043,53908,1799.00,669.00
1701114049,54049,1800.00,669.00
1701114053,54122,1802.00,669.00
1701114060,54254,1803.00,669.00
1701114065,54359,1804.00,669.00
1701114065,54366,1805.00,669.00
1701114070,54479,1807.00,669.00
1701114071,54487,1808.00,669.00
1701114072,54500,1809.00,669.00
1701114072,54513,1811.00,669.00
1701114078,54629,1812.00,669.00
1701114087,54842,1814.00,669.00
1701114088,54847,1817.00,670.00
1701114089,54883,1818.00,670.00
1701114091,54910,1819.00,670.00
1701114092,54926,1820.00,670.00
1701114103,55173,1822.00,671.00
1701114111,55338,1824.00,671.00
1701114113,55377,1825.00,671.00
1701114115,55416,1826.00,671.00
1701114117,55446,1827.00,671.00
1701114123,55587,1828.00,671.00
1701114129,55713,1829.00,671.00
1701114132,55774,1832.00,671.00
1701114133,55786,1834.00,671.00
1701114140,55925,1837.00,671.00
1701114141,55941,1838.00,671.00
1701114141,55946,1839.00,671.00
1701114145,56026,1840.00,671.00
1701114164,56412,1841.00,671.00
1701114168,56478,1843.00,671.00
1701114185,56850,1844.00,671.00
1701114186,56870,1845.00,671.00
1701114190,56944,1846.00,671.00
1701114199,57138,1847.00,671.00
1701114206,57288,1848.00,671.00
1701114209,57337,1849.00,671.00
1701114215,57461,1850.00,671.00
1701114236,57897,1852.00,672.00
1701114238,57936,1865.00,680.00
1701114239,57950,1866.00,680.00
1701114240,57969,1867.00,680.00
1701114244,58046,1868.00,680.00
1701114246,58087,1869.00,680.00
1701114246,58095,1870.00,680.00
1701114249,58152,1871.00,680.00
1701114251,58192,1872.00,680.00
1701114258,58336,1873.00,680.00
1701114260,58362,1875.00,681.00
1701114261,58397,1876.00,681.00
1701114263,58424,1877.00,681.00
1701114263,58425,1878.00,681.00
1701114266,58497,1879.00,681.00
1701114270,58568,1880.00,681.00
1701114284,58870,1881.00,681.00
1701114288,58940,1914.00,712.00
1701114289,58955,1917.00,713.00
1701114289,58963,1919.00,713.00
1701114294,59070,1922.00,713.00
1701114296,59097,1924.00,713.00
1701114318,59552,1925.00,713.00
1701114319,59566,1926.00,713.00
1701114320,59576,1927.00,713.00
1701114321,59592,1928.00,713.00
1701114321,59604,1929.00,713.00
1701114322,59613,1931.00,713.00
1701114332,59782,1932.00,713.00
1701114342,59988,1933.00,713.00
1701114373,60605,1934.00,713.00
1701114390,60966,1940.00,713.00
1701114390,60971,1943.00,713.00
1701114392,61001,1946.00,713.00
1701114400,61170,1947.00,713.00
1701114412,61389,1948.00,713.00
1701114413,61412,1949.00,713.00
1701114417,61501,1950.00,713.00
1701114418,61507,1951.00,713.00
1701114424,61624,1952.00,713.00
1701114424,61625,1954.00,713.00
1701114429,61719,1956.00,713.00
1701114432,61784,1958.00,714.00
1701114433,61795,1959.00,714.00
1701114435,61825,1960.00,714.00
1701114446,62078,1961.00,714.00
1701114457,62326,1962.00,714.00
1701114458,62331,1963.00,714.00
1701114472,62622,1964.00,714.00
1701114476,62700,1965.00,714.00
1701114479,62745,1966.00,715.00
1701114479,62746,1967.00,715.00
1701114480,62763,1968.00,715.00
1701114486,62890,1969.00,715.00
1701114487,62902,1970.00,715.00
1701114508,63308,1971.00,715.00
1701114521,63527,1973.00,715.00
1701114525,63599,2003.00,734.00
1701114527,63636,2005.00,734.00
1701114534,63788,2006.00,734.00
1701114540,63897,2008.00,734.00
1701114540,63906,2010.00,734.00
1701114543,63951,2011.00,734.00
1701114545,63980,2012.00,734.00
1701114553,64120,2013.00,734.00
1701114559,64219,2014.00,734.00
1701114576,64550,2015.00,734.00
1701114580,64622,2016.00,734.00
1701114592,64844,2017.00,734.00
1701114605,65052,2019.00,734.00
1701114625,65405,2021.00,735.00
1701114631,65511,2022.00,735.00
1701114637,65609,2029.00,740.00
1701114637,65612,2031.00,740.00
1701114639,65637,2032.00,740.00
1701114639,65639,2033.00,740.00
1701114642,65693,2034.00,740.00
1701114649,65804,2037.00,741.00
1701114655,65878,2038.00,742.00
1701114655,65879,2039.00,742.00
1701114656,65894,2045.00,744.00
1701114671,66198,2046.00,744.00
1701114673,66227,2049.00,746.00
1701114676,66277,2050.00,746.00
1701114677,66284,2052.00,746.00
1701114679,66320,2053.00,747.00
1701114682,66361,2054.00,747.00
1701114684,66404,2057.00,747.00
1701114685,66410,2058.00,747.00
1701114693,66559,2059.00,747.00
1701114693,66562,2061.00,748.00
1701114696,66606,2062.00,748.00
1701114710,66853,2063.00,748.00
1701114710,66856,2064.00,748.00
1701114715,66919,2065.00,748.00
1701114721,67030,2066.00,748.00
1701114722,67041,2067.00,748.00
1701114730,67193,2068.00,748.00
1701114732,67216,2070.00,748.00
1701114733,67244,2071.00,748.00
1701114835,69613,2072.00,748.00
1701114838,69671,2078.00,750.00
1701114839,69696,2079.00,750.00
1701114844,69796,2080.00,750.00
1701114889,70750,2082.00,751.00
1701114923,71494,2083.00,751.00
1701115013,73458,2084.00,751.00
1701115063,74511,2085.00,751.00
1701115130,75962,2087.00,751.00
1701115174,76941,2089.00,752.00
1701115224,77975,2090.00,752.00
1701115257,78713,2092.00,753.00
1701115283,79258,2094.00,755.00
