TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE
1701111574,1,319.00,209.00
1701111585,3,348.00,230.00
1701111585,4,351.00,233.00
1701111585,6,353.00,234.00
1701111585,7,356.00,234.00
1701111585,9,358.00,235.00
1701111585,17,363.00,238.00
1701111585,18,364.00,239.00
1701111585,19,365.00,239.00
1701111585,21,366.00,239.00
1701111585,26,367.00,239.00
1701111585,27,368.00,239.00
1701111586,33,369.00,239.00
1701111586,37,371.00,240.00
1701111586,40,374.00,241.00
1701111586,45,375.00,241.00
1701111586,46,378.00,243.00
1701111586,47,379.00,243.00
1701111586,58,380.00,243.00
1701111587,81,611.00,406.00
1701111587,82,624.00,410.00
1701111587,84,625.00,410.00
1701111587,86,629.00,413.00
1701111587,92,631.00,414.00
1701111588,104,632.00,415.00
1701111588,105,633.00,415.00
1701111589,169,635.00,415.00
1701111590,200,641.00,418.00
1701111590,203,642.00,418.00
1701111590,220,643.00,418.00
1701111590,222,645.00,419.00
1701111591,252,649.00,419.00
1701111591,253,650.00,419.00
1701111591,261,651.00,419.00
1701111592,281,653.00,421.00
1701111592,282,655.00,421.00
1701111592,285,656.00,421.00
1701111596,469,657.00,421.00
1701111597,493,658.00,422.00
1701111597,494,659.00,422.00
1701111597,511,661.00,422.00
1701111597,516,676.00,428.00
1701111598,535,678.00,428.00
1701111601,685,683.00,428.00
1701111601,686,684.00,428.00
1701111603,745,685.00,428.00
1701111603,749,686.00,428.00
1701111604,771,691.00,428.00
1701111604,808,692.00,428.00
1701111606,841,698.00,430.00
1701111606,856,699.00,431.00
1701111606,857,700.00,431.00
1701111606,866,701.00,431.00
1701111609,1007,703.00,432.00
1701111612,1095,704.00,432.00
1701111613,1152,705.00,432.00
1701111614,1158,716.00,441.00
1701111614,1161,717.00,441.00
1701111614,1198,718.00,441.00
1701111615,1205,719.00,441.00
1701111616,1262,720.00,441.00
1701111616,1264,722.00,442.00
1701111618,1340,723.00,442.00
1701111619,1370,724.00,442.00
1701111619,1371,725.00,442.00
1701111620,1406,730.00,446.00
1701111620,1407,731.00,446.00
1701111622,1511,732.00,446.00
1701111623,1513,735.00,447.00
1701111626,1635,736.00,447.00
1701111629,1747,737.00,447.00
1701111629,1749,739.00,447.00
1701111631,1824,740.00,447.00
1701111631,1846,760.00,457.00
1701111632,1865,761.00,457.00
1701111632,1892,763.00,457.00
1701111633,1924,766.00,457.00
1701111633,1936,775.00,461.00
1701111642,2286,776.00,461.00
1701111643,2338,777.00,461.00
1701111645,2430,779.00,461.00
1701111647,2502,792.00,467.00
1701111648,2527,794.00,468.00
1701111651,2646,799.00,468.00
1701111651,2673,800.00,468.00
1701111651,2676,802.00,468.00
1701111655,2807,848.00,488.00
1701111656,2845,850.00,488.00
1701111656,2882,854.00,490.00
1701111659,2958,856.00,491.00
1701111662,3072,857.00,491.00
1701111662,3090,860.00,491.00
1701111662,3091,861.00,491.00
1701111663,3101,862.00,491.00
1701111663,3142,863.00,491.00
1701111663,3143,864.00,491.00
1701111668,3334,865.00,491.00
1701111668,3344,867.00,492.00
1701111669,3375,868.00,492.00
1701111674,3539,869.00,492.00
1701111676,3601,871.00,493.00
1701111678,3672,872.00,493.00
1701111681,3802,873.00,493.00
1701111683,3864,876.00,495.00
1701111683,3875,878.00,496.00
1701111683,3880,880.00,496.00
1701111687,3974,881.00,496.00
1701111687,3982,882.00,496.00
1701111689,4041,883.00,496.00
1701111690,4075,888.00,497.00
1701111690,4083,891.00,498.00
1701111699,4366,892.00,498.00
1701111700,4373,893.00,498.00
1701111700,4376,895.00,498.00
1701111700,4383,896.00,498.00
1701111700,4394,900.00,499.00
1701111700,4399,901.00,499.00
1701111701,4441,902.00,499.00
1701111702,4446,903.00,499.00
1701111704,4523,904.00,499.00
1701111704,4529,905.00,499.00
1701111704,4532,906.00,499.00
1701111705,4584,907.00,499.00
1701111705,4585,908.00,499.00
1701111705,4589,909.00,499.00
1701111705,4591,910.00,499.00
1701111705,4592,911.00,499.00
1701111705,4593,912.00,499.00
1701111706,4598,913.00,500.00
1701111706,4599,914.00,500.00
1701111706,4605,915.00,500.00
1701111706,4608,916.00,500.00
1701111708,4693,918.00,500.00
1701111709,4723,932.00,506.00
1701111709,4725,933.00,506.00
1701111709,4734,935.00,506.00
1701111709,4737,936.00,506.00
1701111710,4756,937.00,506.00
1701111710,4774,938.00,506.00
1701111711,4784,939.00,506.00
1701111711,4785,940.00,506.00
1701111711,4791,941.00,506.00
1701111711,4793,942.00,506.00
1701111712,4812,943.00,506.00
1701111712,4814,944.00,506.00
1701111712,4818,945.00,507.00
1701111712,4820,946.00,507.00
1701111712,4828,949.00,508.00
1701111713,4872,950.00,508.00
1701111713,4874,951.00,508.00
1701111715,4926,954.00,510.00
1701111715,4939,955.00,510.00
1701111716,4949,962.00,513.00
1701111716,4950,963.00,513.00
1701111718,5049,964.00,513.00
1701111722,5139,965.00,513.00
1701111723,5193,967.00,514.00
1701111726,5267,968.00,514.00
1701111726,5272,969.00,514.00
1701111726,5274,971.00,514.00
1701111726,5276,972.00,514.00
1701111727,5294,973.00,514.00
1701111727,5300,974.00,514.00
1701111728,5315,975.00,514.00
1701111728,5321,976.00,514.00
1701111729,5366,977.00,514.00
1701111729,5367,978.00,514.00
1701111734,5491,979.00,514.00
1701111736,5553,980.00,514.00
1701111736,5561,981.00,514.00
1701111737,5593,982.00,514.00
1701111739,5634,984.00,514.00
1701111742,5732,985.00,514.00
1701111744,5783,988.00,514.00
1701111745,5805,989.00,514.00
1701111755,6077,990.00,514.00
1701111756,6130,991.00,514.00
1701111761,6286,992.00,514.00
1701111762,6331,994.00,514.00
1701111764,6384,995.00,514.00
1701111764,6390,996.00,514.00
1701111765,6425,997.00,514.00
1701111766,6440,998.00,514.00
1701111766,6449,999.00,514.00
1701111767,6464,1000.00,514.00
1701111768,6494,1001.00,514.00
1701111769,6523,1002.00,514.00
1701111769,6534,1003.00,514.00
1701111770,6550,1010.00,516.00
1701111770,6569,1013.00,517.00
1701111771,6592,1014.00,517.00
1701111775,6719,1015.00,517.00
1701111777,6767,1016.00,517.00
1701111778,6810,1017.00,517.00
1701111778,6811,1018.00,517.00
1701111782,6896,1019.00,517.00
1701111789,7096,1020.00,517.00
1701111794,7248,1028.00,523.00
1701111795,7253,1031.00,523.00
1701111795,7265,1032.00,523.00
1701111797,7316,1033.00,523.00
1701111797,7321,1034.00,523.00
1701111806,7559,1035.00,523.00
1701111806,7579,1036.00,523.00
1701111807,7588,1037.00,523.00
1701111807,7593,1038.00,523.00
1701111807,7598,1039.00,523.00
1701111807,7603,1040.00,523.00
1701111808,7626,1041.00,523.00
1701111809,7657,1042.00,523.00
1701111810,7676,1043.00,523.00
1701111810,7695,1044.00,523.00
1701111811,7696,1045.00,523.00
1701111812,7749,1046.00,523.00
1701111813,7767,1047.00,523.00
1701111814,7788,1048.00,523.00
1701111822,8030,1049.00,523.00
1701111823,8039,1051.00,523.00
1701111825,8093,1052.00,523.00
1701111827,8148,1054.00,523.00
1701111829,8230,1055.00,523.00
1701111835,8358,1058.00,524.00
1701111836,8385,1059.00,524.00
1701111837,8387,1060.00,524.00
1701111837,8406,1061.00,524.00
1701111841,8481,1062.00,524.00
1701111842,8490,1063.00,524.00
1701111843,8509,1064.00,524.00
1701111845,8533,1065.00,524.00
1701111848,8582,1066.00,524.00
