TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721420775,49,1258567.00,792032.00,617D9E9E61616161616161616161616161615C6161619E9E9E9E61616161616161610A
1721420777,50,1265251.00,794660.00,616121E16161616161616161616161616161616161616161616161616161616161540A
1721420779,51,1270417.00,796703.00,9E6161616161616161619E9E61616161619E616161616161616161616111E16A610A
1721420781,52,1275931.00,798582.00,616161616161616161616161616161616161616161616161616161A86161616161619B9E9E9E6161610A
1721420783,53,1281212.00,800485.00,6161616161616161616161616161616161619E9E61FAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFA616161616161656161616161616161616161619E9E9E9E6161616161616161FAFAFAFA6161
1721420785,54,1283966.00,801381.00,616161619E9E9E9E6161616161616161616161616161616161616161616161616161616161616961616161616161616161616161616961616161610A
1721420787,55,1290866.00,804058.00,616161616161616161619E9E9E9D616161616161616261616161B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B56161E69E9E9EF5
1721420789,56,1297087.00,806617.00,616161616161616161618A61616161616173616161616161616161616161AF610A
1721420790,57,1302341.00,808742.00,6161616161619E9E9E9E61616161616161616161616121E1616161616161619E9E9E9E61616161616161616161616121E1619E9E9E61616761616161616161616121E16161616161616161619E9E63616161610A
1721420792,58,1307725.00,810855.00,6161616161616161616161616161619E9E9E9E616161619E9E9E9E6161616161616161619E619E9E616161619E9E61616161610161616161616161616161610A
1721420795,59,1313037.00,813124.00,616154616161619E9E9E9E8C616161E4610161616161616161619E9E8C616161E46101616161616161616161616161616161616161616161610A
1721420796,60,1315418.00,814080.00,6161616161616161616161616161616139619E9E9E9E6161616161616161616161610A
1721420798,61,1319820.00,815795.00,619E9E6161619E9E616161616161E161614A615E61619E9E016161196161619E9E610A
1721420800,62,1325974.00,818068.00,6161616D616161579E6161619E61616161616161629E9E61616161616185858585858585858585858585858585858585856161610A
1721420802,63,1331279.00,820012.00,6161616161616161616161616161616161619E8F619E614F61616161607F616161619161616161616161616161616161616161616161614F61616161610A
1721420804,64,1336585.00,822016.00,6161616161609E6161616161616161617961616161616161616161616161617761610A
1721420806,65,1343136.00,824440.00,6161616161616121E261616161616161616161616161619E9E9E9E616161616161610A
1721420807,66,1346017.00,825469.00,9E9EFE1F6161616161616161616161616161616161616161616161616161616161610A
1721420809,67,1352989.00,827967.00,61616161E1616161616161216161619E6161616161616161616161616161616161E1616161616161616161619E61616161616161616161616161610A
1721420811,68,1358846.00,830030.00,619E61616161619E615C61619E616161616161619E9E6161616161616161616161610A
1721420814,69,1364742.00,832057.00,6161616D61616161619E359E9E6161616161616168619E9E9E9E61616161616161610A
1721420816,70,1373242.00,835026.00,61616121E16161612561616161619E6179616161616111E1616161616161616161630A
1721420818,71,1376550.00,836294.00,616161616161616161616161616161616161616161616161616161616161616161616161E06161616161616151619E9E9E9E61610A
1721420819,72,1381107.00,837904.00,61616161619E619E9E676161619E9E9E9E6161616161616161E061616161616161610A
1721420821,73,1386640.00,839748.00,6161616161619E619E9E9EB0616161616161616161619E9E616161616101616161610A
1721420823,74,1390631.00,840961.00,6161616161616161619E9E136161616161416161616161616161616161610A
1721420825,75,1396978.00,843341.00,6161616161616161616161619E9E9F9E6161616161616161619E9E9E619E6161616119
1721420827,76,1402834.00,845353.00,616161616161619EE061616161616121E1616161F361616161616121E16161616161616161616161616161616161619E61616161616161616161610A
1721420829,77,1407101.00,846911.00,6161616101E061619E9E616161616161617161616161616161616D61616161616161616161616161610A61616161616161616161610A
1721420831,78,1410879.00,848081.00,61610D6121E26161616161616161616161616161616161616161610D6121E26161616161616161616161616161616161616161616161616161616161616161616161616161619E9E9E9E0A
1721420833,79,1418112.00,850512.00,6161619E9E61616161619E9E9E9E71616161619E61619E6161616161616161619E610A
1721420835,80,1423781.00,852475.00,61726161616161619E616161616161616161616161616161F3F3F3DFF3F3F3F3F3F3F3F3F3F3F3F3F3F3F3F3616161616161615561610A
1721420837,81,1430641.00,855066.00,61616161616161196167616161E061616161616161616361616161616161616161610A
1721420839,82,1435944.00,856580.00,616161616161616161616161616161616161616161616161616161610A
1721420840,83,1438271.00,857361.00,016119619E9E61616161616061616161616161616161616161619E610A
1721420842,84,1441639.00,858541.00,616161616121E2616161636161616161616101E06161616161616161FE1F616161616161616161616161616161610A
1721420844,85,1448122.00,860792.00,616161616161616161614A616171616161616161616161617F6161616161616161610A
1721420845,86,1451381.00,861735.00,619E9E9E9E6161616161616161616150616161616161616161616161616161610A
1721420848,87,1458813.00,864020.00,6161616161616165616161616161616161616161616121E261616161616161616161616161616161616161616161616161613461616161616134610A
1721420850,88,1463469.00,865860.00,6161619E9E9E9E61616D6161616161619E9E9E9E616161616161EE6161616161619E619E9E9E9E61616D6161616161619E9E9E9E616161616161EEF5
1721420851,89,1465831.00,866988.00,61619E9E61619E9E61617161619E619E619E619E6161615A61617161619E619E619E619E6161615A6101617961610A
1721420853,90,1469225.00,868047.00,618A61656161616161616161616155619E1F6161614B61616161616161610A
1721420855,91,1475766.00,870082.00,616161616361616161616161616161619E9E9E6161616149619E9E9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9E9E6159610A
1721420856,92,1480064.00,871518.00,61619E61619E9E9E9E9E9E9E9E6161619E616161439E61619E9E6161616161610A
1721420858,93,1486298.00,873418.00,619E9E9E9E6161616161616161616161E0616161616161619E619E9E61610A
1721420860,94,1491900.00,875196.00,616161616161616103616161616161616161A29E6161616161616161616161610A
1721420862,95,1495944.00,876599.00,616161616161619E9E9E9E61616161616161616161BE6161616261606161616161610A
1721420864,96,1497561.00,877193.00,61616161616161616161616161616161616161617F6161616161DA619E9E616161613A
1721420866,97,1504900.00,879519.00,6161616161619E9E61619E9E616161676161616161616161614161616161B7B7B7B7B7B7B7B7B7B7B7B7B7B7B7B7B73061610A
1721420868,98,1510666.00,881810.00,9E615D6D21E26161616161616161616161616161619E9E9E9E61616161616161616161619E9E9E9E616161616161616161616161610A
1721420869,99,1515957.00,883547.00,616161616161B361616161616161619E61616161616161616161BC616111E16161610A
1721420871,100,1521200.00,885230.00,61616161616161616161616161616161616161646121E161616161616161F16161610A
1721420873,101,1523826.00,886116.00,6161619E9E61616161616161616161616161616161E1616161616163616161610A
1721420874,102,1526048.00,886903.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161610A
1721420876,103,1531695.00,888617.00,61616161F04461616961616161616161616161616161616161616B19616161610A
1721420877,104,1536736.00,890153.00,61619E61616167616161616161616161616161616161616161616161619E9E6161610A
1721420880,105,1543628.00,892304.00,6161619E9E616161618E9E6161616161616161616161619E616161616161616161610A
1721420882,106,1549092.00,893950.00,616161616161616161616161616161616161616161616161613D616161656119616161616161616161616161616161613D616161656119616161610A
1721420884,107,1550460.00,894335.00,616161616161616A6161616161619E9E616161616161619E9E9E9E616161616161610A
1721420885,108,1554208.00,895703.00,61616161616161616161616161616161616161616161616D6161619E9E61619E61610A
1721420887,109,1559311.00,897250.00,61619E9E9E69616161616161616D616161616161616161616121E261611D0A
1721420889,110,1562675.00,898317.00,616161616172616161616161616161615D616161616161619E9E616161610A
1721420891,111,1568301.00,900079.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161D861619E9E9E9E62610A
1721420892,112,1571928.00,901196.00,616161616161616161616161616161616161616161619E6161616161616161616161619E9E9F9E61616161616161619E619E9E9E9E5D616161616161616161619E6161616161616161616161619EAB9F9E9E616161
1721420895,113,1577961.00,903177.00,6161616161616161616161616161616161616161616161616161616161619E9E616161616D61616161616161616161616161616161616124242424242424242424242424242424242424242424
1721420896,114,1581662.00,904457.00,61613F61E0616161616161616161616161616161616E616161616161616161617F610A
1721420898,115,1585181.00,905630.00,9E9E61616161616161616161616161616121E26161616161616161619E869E9E61610D
1721420900,116,1591688.00,907773.00,6161616171619E9E616161619E9E9E9E616161616161616161616161616161610A
1721420902,117,1595226.00,908807.00,616161619E6161619E986161616161616161616161FC61616161613C6165616161610A
1721420904,118,1600699.00,910495.00,61616161676161616161616161616161616161616161616161616161616119610A
1721420906,119,1605373.00,911766.00,6161616161616161616161619E9E949E619EA29E9E61616161616161619E9E6161610A
1721420907,120,1606230.00,911995.00,6161616161616121E2E66161616161616161616161616161616161616161616112
1721420910,121,1611315.00,913721.00,61616161616161C06161616161616178787878787878616161C06161616161616178787878787878617878787878787838F87878787878787878787861616161616161526161610A
1721420912,122,1618381.00,915780.00,61616161616161616161615D61E16161616161616161615D61E16161616161616161616161616161616161616161616161616161616161616161610A
1721420913,123,1620725.00,916349.00,6161616161611961616161616161616169616161619E9E9E9E60616161619E9E61610A
1721420915,124,1626591.00,918123.00,6161617161616161616161616161016161619E619E61616161616161616161610A
1721420917,125,1630040.00,919161.00,989E61616161616161616161616161616161616161616161616161616161616161610A
1721420919,126,1632476.00,919862.00,616161616161616161616161DE1D61616161616161616161616171616161616161610A
1721420921,127,1640242.00,922314.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161610A
1721420922,128,1647124.00,924350.00,6161616121616161616161619B6161616A61616161616161616161616161616161610A
1721420924,129,1652648.00,925933.00,616161616761616161616161616161616161616161616161616161616161666161610A
1721420926,130,1658197.00,927659.00,6161616121E1619E9E616D6161616161616161615D619E9E9E9E1F9E616101E061610A
1721420928,131,1662146.00,928815.00,616161616161616176616161616D61616161696161616161619E61619E9E9E9E0A
1721420930,132,1666422.00,930041.00,A261616161619E4161E79E9E616161619E6161616141611C61E161616161616120
1721420933,133,1673844.00,932261.00,61616161616161786161616161616161616161616161616161616161616161610A
1721420934,134,1680056.00,934390.00,379E6161616161616561616161E1613B3B3B3B3B3B3B3B3B3B3B3B3B3B3B3B3B3B3B3B619E61639E9E9E9E61616161616161616161610A
1721420937,135,1684389.00,935469.00,61616161614161616160616161616161C09E9E9E61616161616161616161616161610A
1721420939,136,1687726.00,936313.00,6161616161616161616161E66161616161619E9E616161616161617F616161610A
1721420941,137,1692158.00,937641.00,5D74616161615F6161616161FE9E9E9E61616161615861616161946161616161776185868585A2A2A2A2A2A2A2A2A2A2A2A2A2A2A2A2A25D5D5D5DA2A2A2A2A2A2A2A2A2A2A2A25DA2
1721420943,138,1696151.00,938718.00,5161619E6161616161B8616161616161616161616161616161616161616161610A
1721420945,139,1698892.00,939517.00,616161626161619E9E9E2F616161619E616161616161616121E161616161616161616161616161619E616161616161616121E161616161616161610A
1721420947,140,1702287.00,940265.00,6161616161616161616161619E9E61796161616161616161616161616161616106610A
1721420950,141,1706813.00,941625.00,6161616161619E9E61616161616161616161616161616161616161616161619E9E616161616161616161619E9EBEA70A
1721420953,142,1709836.00,942410.00,61219E9E9E9E616161616161619E9EAC616161619E9E9E61619E9E43616161619E9EAC616161616161616161616161616161616161612961690A
1721420954,143,1712383.00,943081.00,6161616161616161616161616161616161616161616161615C796161616161610A
1721420956,144,1717366.00,944325.00,616161616161616161616161616161619E9E6161616161516161616161616161616161616161616161616161615161616161616161616161610A
1721420958,145,1722571.00,945698.00,61616161616161619E9E9E9E6161616161616161616161E1616761616161616161616161616161E16167616161616161610A
