TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721419390,49,1494775.00,878253.00,617D9E9E61616161616161616161616161615C6161619E9E9E9E61616161616161610A
1721419391,50,1503228.00,881133.00,616121E16161616161616161616161616161616161616161616161616161616161540A
1721419393,51,1510113.00,883419.00,9E6161616161616161619E9E61616161619E616161616161616161616111E16A610A
1721419395,52,1513932.00,884708.00,616161616161616161616161616161616161616161616161616161A86161616161619B9E9E9E6161610A
1721419397,53,1516955.00,885806.00,6161616161616161616161616161616161619E9E61FAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFAFA616161616161656161616161616161616161619E9E9E9E6161616161616161FAFAFAFA6161
1721419399,54,1522253.00,887551.00,616161619E9E9E9E6161616161616161616161616161616161616161616161616161616161616961616161616161616161616161616961616161610A
1721419400,55,1530792.00,890306.00,616161616161616161619E9E9E9D616161616161616261616161B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B5B56161E69E9E9EF5
1721419402,56,1537003.00,892230.00,616161616161616161618A61616161616173616161616161616161616161AF610A
1721419404,57,1542419.00,894022.00,6161616161619E9E9E9E61616161616161616161616121E1616161616161619E9E9E9E61616161616161616161616121E1619E9E9E61616761616161616161616121E16161616161616161619E9E63616161610A
1721419406,58,1548076.00,895945.00,6161616161616161616161616161619E9E9E9E616161619E9E9E9E6161616161616161619E619E9E616161619E9E61616161610161616161616161616161610A
1721419408,59,1551652.00,897038.00,616154616161619E9E9E9E8C616161E4610161616161616161619E9E8C616161E46101616161616161616161616161616161616161616161610A
1721419410,60,1558319.00,899206.00,6161616161616161616161616161616139619E9E9E9E6161616161616161616161610A
1721419411,61,1563963.00,900803.00,619E9E6161619E9E616161616161E161614A615E61619E9E016161196161619E9E610A
1721419413,62,1568984.00,902186.00,6161616D616161579E6161619E61616161616161629E9E61616161616185858585858585858585858585858585858585856161610A
1721419415,63,1575199.00,903980.00,6161616161616161616161616161616161619E8F619E614F61616161607F616161619161616161616161616161616161616161616161614F61616161610A
1721419417,64,1579602.00,905166.00,6161616161609E6161616161616161617961616161616161616161616161617761610A
1721419419,65,1584693.00,906574.00,6161616161616121E261616161616161616161616161619E9E9E9E616161616161610A
1721419421,66,1590586.00,908373.00,9E9EFE1F6161616161616161616161616161616161616161616161616161616161610A
1721419423,67,1595999.00,910095.00,61616161E1616161616161216161619E6161616161616161616161616161616161E1616161616161616161619E61616161616161616161616161610A
1721419425,68,1602180.00,912052.00,619E61616161619E615C61619E616161616161619E9E6161616161616161616161610A
1721419426,69,1607450.00,913623.00,6161616D61616161619E359E9E6161616161616168619E9E9E9E61616161616161610A
1721419428,70,1610080.00,914426.00,61616121E16161612561616161619E6179616161616111E1616161616161616161630A
1721419430,71,1614873.00,916019.00,616161616161616161616161616161616161616161616161616161616161616161616161E06161616161616151619E9E9E9E61610A
1721419432,72,1622559.00,918244.00,61616161619E619E9E676161619E9E9E9E6161616161616161E061616161616161610A
1721419434,73,1627765.00,919790.00,6161616161619E619E9E9EB0616161616161616161619E9E616161616101616161610A
1721419436,74,1632156.00,921041.00,6161616161616161619E9E136161616161416161616161616161616161610A
1721419438,75,1635532.00,921960.00,6161616161616161616161619E9E9F9E6161616161616161619E9E9E619E6161616119
1721419439,76,1638061.00,922741.00,616161616161619EE061616161616121E1616161F361616161616121E16161616161616161616161616161616161619E61616161616161616161610A
1721419441,77,1645467.00,924928.00,6161616101E061619E9E616161616161617161616161616161616D61616161616161616161616161610A61616161616161616161610A
1721419443,78,1651991.00,926740.00,61610D6121E26161616161616161616161616161616161616161610D6121E26161616161616161616161616161616161616161616161616161616161616161616161616161619E9E9E9E0A
1721419445,79,1655439.00,927799.00,6161619E9E61616161619E9E9E9E71616161619E61619E6161616161616161619E610A
1721419447,80,1660295.00,929210.00,61726161616161619E616161616161616161616161616161F3F3F3DFF3F3F3F3F3F3F3F3F3F3F3F3F3F3F3F3616161616161615561610A
1721419448,81,1666988.00,931052.00,61616161616161196167616161E061616161616161616361616161616161616161610A
1721419450,82,1667856.00,931269.00,616161616161616161616161616161616161616161616161616161610A
1721419452,83,1671376.00,932374.00,016119619E9E61616161616061616161616161616161616161619E610A
1721419455,84,1679216.00,934513.00,616161616121E2616161636161616161616101E06161616161616161FE1F616161616161616161616161616161610A
1721419456,85,1681759.00,935161.00,616161616161616161614A616171616161616161616161617F6161616161616161610A
1721419458,86,1687004.00,936611.00,619E9E9E9E6161616161616161616150616161616161616161616161616161610A
1721419460,87,1691139.00,937854.00,6161616161616165616161616161616161616161616121E261616161616161616161616161616161616161616161616161613461616161616134610A
1721419462,88,1695427.00,939054.00,6161619E9E9E9E61616D6161616161619E9E9E9E616161616161EE6161616161619E619E9E9E9E61616D6161616161619E9E9E9E616161616161EEF5
1721419463,89,1699665.00,940105.00,61619E9E61619E9E61617161619E619E619E619E6161615A61617161619E619E619E619E6161615A6101617961610A
1721419465,90,1705871.00,941813.00,618A61656161616161616161616155619E1F6161614B61616161616161610A
1721419467,91,1710509.00,943157.00,616161616361616161616161616161619E9E9E6161616149619E9E9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9E9E6159610A
1721419469,92,1715846.00,945082.00,61619E61619E9E9E9E9E9E9E9E6161619E616161439E61619E9E6161616161610A
1721419470,93,1721588.00,946590.00,619E9E9E9E6161616161616161616161E0616161616161619E619E9E61610A
1721419472,94,1727896.00,948303.00,616161616161616103616161616161616161A29E6161616161616161616161610A
1721419474,95,1730881.00,949094.00,616161616161619E9E9E9E61616161616161616161BE6161616261606161616161610A
1721419476,96,1736150.00,950758.00,61616161616161616161616161616161616161617F6161616161DA619E9E616161613A
1721419478,97,1743458.00,952846.00,6161616161619E9E61619E9E616161676161616161616161614161616161B7B7B7B7B7B7B7B7B7B7B7B7B7B7B7B7B73061610A
1721419480,98,1747037.00,953737.00,9E615D6D21E26161616161616161616161616161619E9E9E9E61616161616161616161619E9E9E9E616161616161616161616161610A
1721419482,99,1751291.00,954936.00,616161616161B361616161616161619E61616161616161616161BC616111E16161610A
1721419484,100,1756556.00,956333.00,61616161616161616161616161616161616161646121E161616161616161F16161610A
1721419486,101,1758460.00,956924.00,6161619E9E61616161616161616161616161616161E1616161616163616161610A
1721419488,102,1764385.00,958642.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161610A
1721419490,103,1771918.00,960743.00,61616161F04461616961616161616161616161616161616161616B19616161610A
1721419492,104,1774833.00,961476.00,61619E61616167616161616161616161616161616161616161616161619E9E6161610A
1721419494,105,1780815.00,962900.00,6161619E9E616161618E9E6161616161616161616161619E616161616161616161610A
1721419496,106,1786882.00,964491.00,616161616161616161616161616161616161616161616161613D616161656119616161616161616161616161616161613D616161656119616161610A
1721419497,107,1788695.00,964998.00,616161616161616A6161616161619E9E616161616161619E9E9E9E616161616161610A
1721419500,108,1796810.00,967189.00,61616161616161616161616161616161616161616161616D6161619E9E61619E61610A
1721419501,109,1801096.00,968342.00,61619E9E9E69616161616161616D616161616161616161616121E261611D0A
1721419503,110,1805525.00,969310.00,616161616172616161616161616161615D616161616161619E9E616161610A
1721419505,111,1813808.00,971369.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161D861619E9E9E9E62610A
1721419507,112,1816768.00,972104.00,616161616161616161616161616161616161616161619E6161616161616161616161619E9E9F9E61616161616161619E619E9E9E9E5D616161616161616161619E6161616161616161616161619EAB9F9E9E616161
1721419509,113,1820406.00,973114.00,6161616161616161616161616161616161616161616161616161616161619E9E616161616D61616161616161616161616161616161616124242424242424242424242424242424242424242424
1721419511,114,1827346.00,974910.00,61613F61E0616161616161616161616161616161616E616161616161616161617F610A
