TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721401156,0,0,0,0
1721401156,1,6584.00,6384.00,null
1721401171,2,6597.00,6397.00,7373699BF5
1721401176,3,6649.00,6448.00,EC0D901422
1721401181,4,6749.00,6548.00,808CAD641A
1721401186,5,6812.00,6611.00,CCE20A
1721401191,6,6846.00,6644.00,507349
1721401196,7,6873.00,6671.00,A69B9A640A
1721401201,8,6933.00,6730.00,738C9672F5
1721401206,9,6942.00,6739.00,7369E30A
1721401211,10,6965.00,6762.00,738C96640A
1721401216,11,6985.00,6782.00,736437
1721401221,12,7047.00,6843.00,CC640A
1721401227,13,7058.00,6853.00,8C73966464649B649B9B9B9B9B9B9B9B649B9B9B9B64640E
