TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
0,0,0,0,0
1701484696,1,1747.00,1198.00,null
1701484706,2,1756.00,1203.00,414141BEBE
1701484706,3,1762.00,1204.00,4152413F41
1701484706,5,1764.00,1204.00,52429CC441
1701484706,7,1772.00,1207.00,79DE013EA2
1701484706,20,1775.00,1207.00,2241414841
1701484706,29,1781.00,1209.00,5F
1701484706,30,1783.00,1210.00,5941412C41
1701484706,40,1791.00,1213.00,BEBEBEBE
1701484706,47,1793.00,1213.00,3B41EF01BE
1701484706,51,1807.00,1220.00,7C8B28
1701484706,57,1808.00,1220.00,C6
1701484706,66,1809.00,1220.00,33B9
1701484706,67,1810.00,1220.00,2061BE
1701484706,81,1816.00,1221.00,78AEBEBE41
1701484707,138,1819.00,1221.00,CE
1701484707,168,1823.00,1222.00,41AD3C3F41
1701484707,171,1825.00,1223.00,4EE9EE3C25
1701484708,233,1828.00,1224.00,913929
1701484708,256,1830.00,1224.00,F4BE
1701484708,287,1831.00,1224.00,5243
1701484708,302,1835.00,1228.00,52435C5841
1701484709,318,1839.00,1229.00,791601C1E2
1701484709,345,1842.00,1229.00,79DE0126E2
1701484709,346,1846.00,1230.00,863E22
1701484710,393,1851.00,1230.00,02C6414844
1701484710,404,1852.00,1230.00,31
1701484710,423,1853.00,1230.00,F6B64BB74D
1701484710,449,1855.00,1230.00,CCAE3DCEC5
1701484711,513,1858.00,1230.00,82BE09BA
1701484712,628,1860.00,1230.00,F6
1701484714,725,1862.00,1230.00,81
1701484714,732,1864.00,1230.00,3BBE90FE41
1701484714,769,1865.00,1230.00,5835
1701484714,784,1867.00,1231.00,14
1701484714,791,1868.00,1231.00,00413A
1701484714,803,1870.00,1231.00,584441
1701484715,844,1871.00,1231.00,5CFE41
1701484718,1048,1874.00,1232.00,66AE41D68E
1701484718,1049,1875.00,1232.00,87AEC6BF41
1701484718,1078,1877.00,1232.00,8A
1701484718,1079,1878.00,1232.00,C4
1701484719,1098,1880.00,1233.00,58BDB3D641
1701484719,1124,1883.00,1233.00,48414CE94D
1701484720,1158,1888.00,1235.00,35
1701484720,1196,1891.00,1236.00,78
1701484722,1349,1894.00,1237.00,71523CC0BE
1701484723,1419,1897.00,1237.00,98
1701484723,1422,1900.00,1237.00,4E
1701484724,1471,1904.00,1238.00,C1
1701484724,1508,1907.00,1238.00,36
1701484725,1533,1910.00,1238.00,0B29
1701484725,1553,1924.00,1246.00,D3
1701484725,1557,1941.00,1257.00,5211
1701484725,1564,1943.00,1257.00,5257
1701484725,1583,1945.00,1257.00,B7
1701484725,1590,1998.00,1302.00,3D
1701484725,1594,2007.00,1310.00,EDBB
1701484725,1599,2014.00,1314.00,B699
1701484725,1602,2040.00,1339.00,533D
1701484725,1606,2045.00,1343.00,43
1701484726,1609,2051.00,1349.00,BC
1701484726,1613,2073.00,1365.00,A3
1701484726,1614,2084.00,1371.00,91BC
1701484726,1617,2105.00,1388.00,52435CA7BE
1701484726,1619,2106.00,1388.00,52435C5849
1701484726,1621,2154.00,1410.00,52435C1BC2
1701484726,1622,2175.00,1418.00,52BCBD433E
1701484726,1625,2198.00,1432.00,ADCC27A7C5
1701484726,1628,2209.00,1440.00,ADBBA329C4
1701484726,1629,2212.00,1441.00,45AF5CD9D3
1701484726,1632,2213.00,1441.00,83
1701484726,1637,2214.00,1441.00,AD33
1701484726,1643,2216.00,1441.00,5D435C5841
1701484726,1653,2217.00,1441.00,52A45C383F
1701484726,1663,2221.00,1442.00,28
1701484726,1664,2222.00,1442.00,41
1701484728,1768,2223.00,1442.00,47
1701484728,1770,2224.00,1442.00,B19D
1701484728,1846,2225.00,1442.00,7916FE4E
1701484729,1867,2226.00,1442.00,87E901200A
1701484729,1875,2227.00,1442.00,79F80A06C4
1701484729,1887,2228.00,1442.00,79083101CD
1701484729,1916,2229.00,1442.00,86
1701484730,1923,2230.00,1442.00,A6F8
1701484730,1930,2231.00,1442.00,40
1701484730,1942,2232.00,1442.00,E6C881FFA2
1701484731,2025,2235.00,1443.00,2841
1701484732,2136,2238.00,1443.00,39
1701484733,2156,2240.00,1443.00,9A2C
1701484733,2179,2244.00,1443.00,D8
1701484733,2188,2245.00,1443.00,77
1701484734,2248,2246.00,1443.00,9ADF
1701484734,2269,2248.00,1444.00,8C
1701484735,2327,2250.00,1444.00,C2
1701484736,2352,2252.00,1444.00,D3
1701484736,2354,2254.00,1444.00,B6
1701484737,2404,2255.00,1444.00,1C8141
1701484737,2443,2259.00,1444.00,5CF9C1
1701484739,2525,2262.00,1444.00,784941BE
1701484740,2618,2263.00,1444.00,4D
1701484741,2662,2265.00,1444.00,BD
1701484742,2739,2266.00,1444.00,11
1701484742,2750,2270.00,1445.00,34
1701484743,2856,2273.00,1445.00,71ADC37F28
1701484744,2899,2274.00,1445.00,715244C0D5
1701484745,2966,2277.00,1446.00,FA
1701484745,2992,2279.00,1446.00,39
1701484746,3073,2280.00,1446.00,77
1701484747,3134,2281.00,1446.00,C3
1701484748,3155,2283.00,1446.00,E5
1701484748,3216,2287.00,1446.00,4C59
1701484749,3273,2288.00,1446.00,C0
1701484749,3282,2290.00,1446.00,90
1701484752,3410,2291.00,1446.00,B62D
1701484752,3411,2293.00,1446.00,78
